Treatment,Gender,StressReduction
medical,F,1
medical,F,1
medical,F,1
medical,F,1
medical,F,2
medical,F,2
medical,F,3
medical,F,3
medical,F,3
medical,F,3
medical,M,1
medical,M,1
medical,M,2
medical,M,2
medical,M,2
medical,M,2
medical,M,2
medical,M,2
medical,M,3
medical,M,3
mental,F,3
mental,F,3
mental,F,4
mental,F,4
mental,F,4
mental,F,4
mental,F,4
mental,F,4
mental,F,5
mental,F,5
mental,M,2
mental,M,2
mental,M,2
mental,M,2
mental,M,3
mental,M,3
mental,M,4
mental,M,4
mental,M,4
mental,M,4
physical,F,1
physical,F,1
physical,F,1
physical,F,1
physical,F,2
physical,F,2
physical,F,3
physical,F,3
physical,F,3
physical,F,3
physical,M,3
physical,M,3
physical,M,4
physical,M,4
physical,M,4
physical,M,4
physical,M,4
physical,M,4
physical,M,5
physical,M,5
